entry,expiry,spot_in,spot_out,condor_credit,condor_pnl,lottery_pnl
2024-02-09,2024-02-15,21782,21911,164.61,44.4,
2024-02-16,2024-02-22,22041,22217,159.2,14.57,-19.61
2024-02-23,2024-02-29,22213,21983,151.36,-20.13,-7.46
2024-03-01,2024-03-07,22339,22494,148.95,14.28,-7.22
2024-03-15,2024-03-21,22023,22012,151.97,78.52,-8.43
2024-03-22,2024-03-28,22097,22327,152.75,-22.29,-11.04
2024-04-05,2024-04-18,22514,21996,163.27,-36.71,
2024-04-12,2024-04-18,22519,21996,150.16,-49.82,-6.82
2024-04-19,2024-04-25,22147,22570,147.37,-52.48,-6.53
2024-04-26,2024-05-02,22420,22648,146.73,-39.32,-4.71
2024-05-03,2024-05-09,22476,21958,147.42,-52.57,-5.58
2024-05-10,2024-05-16,22055,22404,152.13,-45.91,-7.74
2024-05-17,2024-05-23,22466,22968,148.07,-51.91,-5.34
2024-05-24,2024-05-30,22957,22489,152.95,-46.95,-8.57
2024-05-31,2024-06-06,22531,22821,151.67,-36.84,-8.95
2024-06-07,2024-06-13,23290,23399,181.83,37.38,
2024-06-14,2024-06-20,23466,23567,181.9,35.82,
2024-06-21,2024-06-27,23501,24044,181.7,-10.59,
2024-06-28,2024-07-04,24011,24302,181.79,13.43,
2024-07-05,2024-07-11,24324,24316,141.49,80.93,-2.65
2024-07-12,2024-07-18,24502,24801,122.59,-76.78,-0.17
2024-07-19,2024-07-25,24531,24406,137.8,2.85,-2.07
2024-07-26,2024-08-01,24835,25011,147.28,1.02,-6.0
2024-08-02,2024-08-08,24718,24117,151.41,-48.58,-7.78
2024-08-09,2024-08-21,24368,24770,176.32,-20.42,
2024-08-16,2024-08-22,24541,24812,168.97,-2.57,
2024-08-23,2024-08-29,24823,25152,168.6,-21.04,
2024-08-30,2024-09-05,25236,25145,167.0,47.83,
2024-09-06,2024-09-12,24852,25389,149.31,-50.67,-5.66
2024-09-13,2024-09-19,25356,25416,148.55,61.79,-5.37
2024-09-20,2024-09-26,25791,26216,154.39,-45.09,-12.68
2024-09-27,2024-10-03,26179,25250,155.71,-44.27,-13.42
2024-10-04,2024-10-10,25015,24998,166.4,66.76,
2024-10-11,2024-10-17,24964,24750,161.44,4.55,
2024-10-18,2024-10-24,24854,24399,163.17,-35.9,
2024-10-25,2024-10-31,24181,24205,155.89,76.16,-13.67
2024-11-01,2024-11-07,24304,24199,147.72,43.72,-4.8
2024-11-08,2024-11-14,24148,23533,156.46,-43.52,-15.93
2024-11-22,2024-11-28,23907,23914,165.29,67.44,
2024-11-29,2024-12-05,24131,24708,168.45,-31.19,
2024-12-06,2024-12-12,24678,24549,167.26,31.78,
2024-12-13,2024-12-19,24768,23952,162.34,-37.65,
2024-12-20,2024-12-26,23588,23750,161.04,24.99,
2024-12-27,2025-01-02,23813,24189,155.79,-42.94,-11.95
2025-01-03,2025-01-09,24005,23526,159.13,-40.63,-16.07
2025-01-10,2025-01-16,23432,23312,161.86,32.93,
2025-01-17,2025-01-23,23203,23205,160.43,72.8,-18.13
2025-01-24,2025-01-30,23092,23250,160.2,24.42,
2025-01-31,2025-02-06,23508,23603,159.87,46.11,-17.6
2025-02-07,2025-02-13,23560,23031,155.63,-44.33,-11.54
2025-02-14,2025-02-20,22929,22913,157.51,71.5,-15.74
2025-02-21,2025-02-27,22796,22545,150.09,-35.05,-8.51
2025-02-28,2025-03-06,22125,22545,149.92,-49.99,-6.84
2025-03-07,2025-03-13,22552,22397,150.27,12.28,-6.24
2025-03-21,2025-03-27,23350,23592,158.09,-17.97,-14.11
2025-03-28,2025-04-03,23519,23250,159.28,-17.78,-17.45
2025-04-04,2025-04-17,22904,23852,171.91,-28.07,
2025-04-11,2025-04-17,22829,23852,172.59,-27.39,
2025-04-25,2025-05-07,24039,24414,182.46,-1.13,
2025-05-02,2025-05-08,24347,24274,175.96,47.72,
2025-05-09,2025-05-15,24008,25062,166.56,-33.42,
2025-05-16,2025-05-22,25020,24610,173.37,-16.41,
2025-05-23,2025-05-29,24853,24834,173.16,56.88,
2025-05-30,2025-06-05,24751,24751,172.61,57.96,
2025-06-06,2025-06-12,25003,24888,172.53,44.52,
2025-06-13,2025-06-19,24719,24793,152.22,48.18,-8.51
2025-06-20,2025-06-26,25112,25549,151.59,-48.3,-7.71
2025-06-27,2025-07-03,25638,25405,154.74,-24.05,-12.86
2025-07-04,2025-07-10,25461,25355,151.71,49.51,-7.76
2025-07-11,2025-07-17,25150,25111,148.76,74.7,-7.75
2025-07-18,2025-07-24,24968,25062,140.96,27.33,-2.42
2025-07-25,2025-07-31,24837,24768,131.49,46.53,-1.05
2025-08-01,2025-08-07,24565,24596,138.41,70.03,-1.73
2025-08-08,2025-08-14,24363,24631,141.51,-53.42,-2.49
2025-08-22,2025-08-28,24870,24501,150.36,-47.88,-7.05
2025-08-29,2025-09-04,24427,24734,150.28,-41.48,-7.65
2025-09-05,2025-09-11,24741,25006,150.07,-35.78,-8.3
2025-09-12,2025-09-18,25114,25424,144.12,-53.98,-3.41
2025-09-19,2025-09-25,25327,24891,143.05,-56.92,-3.61
2025-09-26,2025-10-08,24655,25046,153.85,-46.1,-10.87
2025-10-03,2025-10-09,24894,25182,136.31,-59.96,-1.99
2025-10-10,2025-10-16,25285,25585,141.21,-54.17,-3.18
2025-10-17,2025-10-23,25710,25891,147.23,-16.49,-4.74
2025-10-24,2025-10-30,25795,25878,144.77,53.71,-5.04
2025-10-31,2025-11-06,25722,25510,140.48,-24.64,-2.34
2025-11-07,2025-11-13,25492,25879,141.25,-58.52,-3.4
2025-11-14,2025-11-20,25910,26192,140.2,-56.35,-2.1
2025-11-21,2025-11-27,26068,26216,139.44,-13.49,-2.02
2025-11-28,2025-12-04,26203,26034,142.18,-7.18,-2.53
2025-12-05,2025-12-11,26186,25899,138.89,-58.47,-2.51
2025-12-12,2025-12-18,26047,25816,145.42,-36.17,-5.47
2025-12-19,2025-12-31,25966,26130,159.49,0.2,
2025-12-26,2026-01-01,26042,26147,137.67,36.16,-2.3
2026-01-02,2026-01-08,26329,25877,142.81,-57.17,-3.59
2026-01-09,2026-01-21,25683,25158,157.99,-41.99,-19.92
2026-01-16,2026-01-22,25694,25290,139.58,-60.36,-2.89
2026-01-23,2026-01-29,25049,25419,145.85,-53.55,-5.75
2026-01-30,2026-02-05,25321,25643,148.8,-49.46,-5.99
2026-02-06,2026-02-12,25694,25807,164.54,45.59,
2026-02-13,2026-02-19,25471,25454,165.29,68.1,
2026-02-20,2026-02-26,25571,25497,166.03,62.16,
2026-02-27,2026-03-05,25179,24766,166.86,-30.73,
2026-03-06,2026-03-12,24450,23639,163.98,-36.0,
2026-03-13,2026-03-19,23151,23002,167.96,33.44,
2026-03-20,2026-04-02,23114,22713,181.62,-7.67,
2026-03-27,2026-04-02,22820,22713,177.64,44.37,
2026-04-10,2026-04-16,24051,24197,182.07,32.82,
2026-04-17,2026-04-23,24354,24173,181.39,29.96,
2026-04-24,2026-04-30,23898,23998,177.64,42.69,
2026-05-08,2026-05-14,24176,23690,162.37,-37.44,
2026-05-15,2026-05-21,23644,23655,163.06,70.21,
2026-05-22,2026-06-03,23719,23406,171.34,-16.07,
2026-05-29,2026-06-04,23548,23417,161.74,35.02,
2026-06-05,2026-06-11,23367,23162,158.47,4.81,-15.9
2026-06-12,2026-06-18,23623,24168,156.84,-43.14,4.09
2026-06-19,2026-06-25,24013,24056,160.36,64.22,-18.89
2026-07-03,2026-07-09,24271,23963,157.19,-31.0,-14.3
2026-07-10,2026-07-16,24207,24073,163.49,38.88,
2026-07-17,2026-07-23,24334,23870,159.52,-40.26,-19.71
2026-07-24,2026-07-30,23767,24317,156.31,-43.67,4.29
2026-07-31,2026-08-06,24384,24636,159.06,-14.24,-18.8
2026-08-07,2026-08-13,24571,24396,152.95,14.95,-9.28
2026-08-14,2026-08-20,24366,24232,148.8,33.16,-5.82
